idx,gamma,kappa_star,Metric,Value
0,0.0673006837760647,4.816287170124966,masked_rmse,1.4623188972473145
0,0.0673006837760647,4.816287170124966,masked_psnr,32.4297981262207
0,0.0673006837760647,4.816287170124966,masked_ssim,0.921785831451416
1,0.2423006837760647,6.816287170124966,masked_rmse,1.3333079814910889
1,0.2423006837760647,6.816287170124966,masked_psnr,33.228675842285156
1,0.2423006837760647,6.816287170124966,masked_ssim,0.933140754699707
2,0.3298006837760648,5.816287170124966,masked_rmse,1.3328790664672852
2,0.3298006837760648,5.816287170124966,masked_psnr,33.230316162109375
2,0.3298006837760648,5.816287170124966,masked_ssim,0.933194637298584
3,0.1548006837760647,3.8162871701249657,masked_rmse,1.4099494218826294
3,0.1548006837760647,3.8162871701249657,masked_psnr,32.74639129638672
3,0.1548006837760647,3.8162871701249657,masked_ssim,0.9271618127822876
4,0.1985506837760647,6.316287170124966,masked_rmse,1.3438407182693481
4,0.1985506837760647,6.316287170124966,masked_psnr,33.16195297241211
4,0.1985506837760647,6.316287170124966,masked_ssim,0.9324554204940796
5,0.3735506837760647,4.316287170124966,masked_rmse,1.333742380142212
5,0.3735506837760647,4.316287170124966,masked_psnr,33.226016998291016
5,0.3735506837760647,4.316287170124966,masked_ssim,0.9331119060516357
6,0.2860506837760648,5.316287170124966,masked_rmse,1.3352077007293701
6,0.2860506837760648,5.316287170124966,masked_psnr,33.21686935424805
6,0.2860506837760648,5.316287170124966,masked_ssim,0.933017373085022
7,0.1110506837760647,3.3162871701249657,masked_rmse,1.4524750709533691
7,0.1110506837760647,3.3162871701249657,masked_psnr,32.48844528198242
7,0.1110506837760647,3.3162871701249657,masked_ssim,0.92287677526474
8,0.1329256837760647,6.066287170124966,masked_rmse,1.3795108795166016
8,0.1329256837760647,6.066287170124966,masked_psnr,32.935665130615234
8,0.1329256837760647,6.066287170124966,masked_ssim,0.929809033870697
9,0.3079256837760648,4.066287170124966,masked_rmse,1.3439339399337769
9,0.3079256837760648,4.066287170124966,masked_psnr,33.16135787963867
9,0.3079256837760648,4.066287170124966,masked_ssim,0.9324491620063782
10,0.3954256837760648,5.066287170124966,masked_rmse,1.3335022926330566
10,0.3954256837760648,5.066287170124966,masked_psnr,33.225894927978516
10,0.3954256837760648,5.066287170124966,masked_ssim,0.9331719279289246
11,0.2204256837760648,3.0662871701249657,masked_rmse,1.3967269659042358
11,0.2204256837760648,3.0662871701249657,masked_psnr,32.8281364440918
11,0.2204256837760648,3.0662871701249657,masked_ssim,0.9283545017242432
12,0.1766756837760648,5.566287170124966,masked_rmse,1.3615022897720337
12,0.1766756837760648,5.566287170124966,masked_psnr,33.04940414428711
12,0.1766756837760648,5.566287170124966,masked_ssim,0.9312090873718262
13,0.3516756837760648,3.5662871701249657,masked_rmse,1.3438372611999512
13,0.3516756837760648,3.5662871701249657,masked_psnr,33.1619758605957
13,0.3516756837760648,3.5662871701249657,masked_ssim,0.9324557185173035
14,0.2641756837760648,6.566287170124966,masked_rmse,1.3327316045761108
14,0.2641756837760648,6.566287170124966,masked_psnr,33.23207473754883
14,0.2641756837760648,6.566287170124966,masked_ssim,0.933181881904602
15,0.0891756837760647,4.566287170124966,masked_rmse,1.44418203830719
15,0.0891756837760647,4.566287170124966,masked_psnr,32.53816223144531
15,0.0891756837760647,4.566287170124966,masked_ssim,0.9237666726112366
16,0.1001131837760647,6.691287170124966,masked_rmse,1.3976062536239624
16,0.1001131837760647,6.691287170124966,masked_psnr,32.82267379760742
16,0.1001131837760647,6.691287170124966,masked_ssim,0.9282772541046143
17,0.2751131837760648,4.691287170124966,masked_rmse,1.3422117233276367
17,0.2751131837760648,4.691287170124966,masked_psnr,33.1723518371582
17,0.2751131837760648,4.691287170124966,masked_ssim,0.9325636625289917
18,0.3626131837760648,5.691287170124966,masked_rmse,1.3341234922409058
18,0.3626131837760648,5.691287170124966,masked_psnr,33.221595764160156
18,0.3626131837760648,5.691287170124966,masked_ssim,0.933147132396698
19,0.1876131837760647,3.6912871701249657,masked_rmse,1.39432954788208
19,0.1876131837760647,3.6912871701249657,masked_psnr,32.84303665161133
19,0.1876131837760647,3.6912871701249657,masked_ssim,0.9285637736320496
20,0.2313631837760648,5.191287170124966,masked_rmse,1.3464956283569336
20,0.2313631837760648,5.191287170124966,masked_psnr,33.14500045776367
20,0.2313631837760648,5.191287170124966,masked_ssim,0.9322765469551086
21,0.0563631837760647,3.1912871701249657,masked_rmse,1.497713327407837
21,0.0563631837760647,3.1912871701249657,masked_psnr,32.222103118896484
21,0.0563631837760647,3.1912871701249657,masked_ssim,0.9175465703010559
22,0.3188631837760647,6.191287170124966,masked_rmse,1.3332538604736328
22,0.3188631837760647,6.191287170124966,masked_psnr,33.227638244628906
22,0.3188631837760647,6.191287170124966,masked_ssim,0.9331814050674438
23,0.1438631837760647,4.191287170124966,masked_rmse,1.4079527854919434
23,0.1438631837760647,4.191287170124966,masked_psnr,32.75868606567383
23,0.1438631837760647,4.191287170124966,masked_ssim,0.9273461103439331
24,0.1219881837760647,5.441287170124966,masked_rmse,1.3985100984573364
24,0.1219881837760647,5.441287170124966,masked_psnr,32.81707000732422
24,0.1219881837760647,5.441287170124966,masked_ssim,0.9281975626945496
25,0.2969881837760648,3.4412871701249657,masked_rmse,1.3583122491836548
25,0.2969881837760648,3.4412871701249657,masked_psnr,33.069671630859375
25,0.2969881837760648,3.4412871701249657,masked_ssim,0.9314437508583069
26,0.3844881837760648,6.441287170124966,masked_rmse,1.3413622379302979
26,0.3844881837760648,6.441287170124966,masked_psnr,33.1729736328125
26,0.3844881837760648,6.441287170124966,masked_ssim,0.932843804359436
27,0.2094881837760647,4.441287170124966,masked_rmse,1.366296648979187
27,0.2094881837760647,4.441287170124966,masked_psnr,33.01900100708008
27,0.2094881837760647,4.441287170124966,masked_ssim,0.9308487176895142
28,0.1657381837760647,5.941287170124966,masked_rmse,1.3613933324813843
28,0.1657381837760647,5.941287170124966,masked_psnr,33.05009460449219
28,0.1657381837760647,5.941287170124966,masked_ssim,0.9312172532081604
29,0.3407381837760648,3.9412871701249657,masked_rmse,1.3401460647583008
29,0.3407381837760648,3.9412871701249657,masked_psnr,33.18552780151367
29,0.3407381837760648,3.9412871701249657,masked_ssim,0.9326993227005005
30,0.2532381837760648,4.941287170124966,masked_rmse,1.3439712524414062
30,0.2532381837760648,4.941287170124966,masked_psnr,33.16111755371094
30,0.2532381837760648,4.941287170124966,masked_ssim,0.9324467182159424
31,0.0782381837760647,6.941287170124966,masked_rmse,1.418079137802124
31,0.0782381837760647,6.941287170124966,masked_psnr,32.696495056152344
31,0.0782381837760647,6.941287170124966,masked_ssim,0.9263957142829895
